Date,Flow,Level
08/04/1889,0.904,0.06
09/04/1889,0.308,0.021
10/04/1889,0.016,0.001
11/04/1889,0,0
12/04/1889,1.007,0.057
13/04/1889,3.833,0.2
14/04/1889,2.433,0.142
15/04/1889,1.536,0.097
16/04/1889,1.072,0.071
17/04/1889,0.672,0.046
18/04/1889,0.341,0.023
19/04/1889,0.199,0.014
20/04/1889,0.192,0.013
21/04/1889,98.627,0.379
22/04/1889,484.777,1.379
23/04/1889,437.818,1.32
24/04/1889,364.082,1.205
25/04/1889,313.13,1.114
26/04/1889,252.304,0.996
27/04/1889,206.128,0.899
28/04/1889,159.765,0.797
29/04/1889,80.236,0.617
30/04/1889,18.492,0.453
01/05/1889,11.998,0.396
02/05/1889,9.647,0.355
03/05/1889,8.926,0.34
04/05/1889,8.461,0.331
05/05/1889,8.296,0.327
06/05/1889,7.758,0.315
07/05/1889,7.324,0.306
08/05/1889,7.3,0.305
09/05/1889,7.3,0.305
10/05/1889,7.063,0.299
11/05/1889,6.402,0.281
12/05/1889,7.464,0.305
13/05/1889,10.826,0.377
14/05/1889,11.057,0.381
15/05/1889,25.025,0.438
16/05/1889,143.947,0.753
17/05/1889,346.561,1.174
18/05/1889,309.857,1.108
19/05/1889,237.521,0.965
20/05/1889,189.232,0.862
21/05/1889,235.648,0.954
22/05/1889,804.363,1.677
23/05/1889,2393.275,3.057
24/05/1889,3093.487,3.561
25/05/1889,2066.674,2.816
26/05/1889,1140.922,2.089
27/05/1889,625.994,1.569
28/05/1889,450.488,1.337
29/05/1889,340.876,1.163
30/05/1889,272.221,1.036
31/05/1889,253.722,0.999
01/06/1889,2675.199,2.71
02/06/1889,13455.584,7.293
03/06/1889,9593.643,6.52
04/06/1889,5083.535,4.73
05/06/1889,3233.394,3.649
06/06/1889,2235.432,2.939
07/06/1889,2393.221,3.035
08/06/1889,4251.021,4.267
09/06/1889,4361.521,4.319
10/06/1889,6862.052,5.668
11/06/1889,5215.952,4.807
12/06/1889,3486.459,3.824
13/06/1889,6155.711,4.854
14/06/1889,18748.297,7.932
15/06/1889,9030.385,6.377
16/06/1889,5277.238,4.84
17/06/1889,4290.665,4.276
18/06/1889,3986.585,4.111
19/06/1889,3903.327,4.066
20/06/1889,4750.973,4.546
21/06/1889,4494.405,4.395
22/06/1889,4001.559,4.118
23/06/1889,3316.802,3.72
24/06/1889,3071.089,3.557
25/06/1889,3460.233,3.814
26/06/1889,3521.371,3.851
27/06/1889,3358.107,3.752
28/06/1889,3164.39,3.622
29/06/1889,2714.886,3.298
30/06/1889,3688.799,3.85
01/07/1889,7031.338,5.736
02/07/1889,5534.319,4.989
03/07/1889,4550.799,4.428
04/07/1889,3981.413,4.107
05/07/1889,3387.927,3.769
06/07/1889,2939.783,3.463
07/07/1889,2318.272,2.999
08/07/1889,1794.255,2.613
09/07/1889,1375.858,2.302
10/07/1889,1245.679,2.195
11/07/1889,1155.973,2.118
12/07/1889,1077.148,2.047
13/07/1889,1014.198,1.989
14/07/1889,942.73,1.921
15/07/1889,890.919,1.869
16/07/1889,801.353,1.774
17/07/1889,645.951,1.597
18/07/1889,603.547,1.545
19/07/1889,582.924,1.519
20/07/1889,563.276,1.494
21/07/1889,543.621,1.468
22/07/1889,524.817,1.443
23/07/1889,506.201,1.418
24/07/1889,487.599,1.392
25/07/1889,469.646,1.367
26/07/1889,456.06,1.347
27/07/1889,487.708,1.391
28/07/1889,571.184,1.504
29/07/1889,544.436,1.469
30/07/1889,524.817,1.443
31/07/1889,503.85,1.414
01/08/1889,472.093,1.37
02/08/1889,431.438,1.311
03/08/1889,397.496,1.259
04/08/1889,373.16,1.221
05/08/1889,373.84,1.222
06/08/1889,381.502,1.234
07/08/1889,395.487,1.256
08/08/1889,1000.835,1.828
09/08/1889,2744.164,3.319
10/08/1889,2758.088,3.331
11/08/1889,2589.455,3.204
12/08/1889,2344.28,3.019
13/08/1889,2162.953,2.883
14/08/1889,2003.741,2.765
15/08/1889,1669.848,2.524
16/08/1889,1325.599,2.261
17/08/1889,1196.403,2.153
18/08/1889,1201.229,2.157
19/08/1889,1072.964,2.043
20/08/1889,915.371,1.894
21/08/1889,2062.632,2.692
22/08/1889,5463.262,4.946
23/08/1889,4646.067,4.485
24/08/1889,3658.584,3.922
25/08/1889,2654.052,3.249
26/08/1889,1524.962,2.412
27/08/1889,1041.701,2.01
28/08/1889,759.945,1.729
29/08/1889,867.368,1.831
30/08/1889,4412.899,3.86
31/08/1889,22307.459,8.282
01/09/1889,17300.777,7.726
02/09/1889,7415.43,5.853
03/09/1889,4769.84,4.554
04/09/1889,3808.101,4.011
05/09/1889,3193.055,3.643
06/09/1889,2886.383,3.426
07/09/1889,2719.538,3.302
08/09/1889,2652.865,3.252
09/09/1889,3882.206,3.97
10/09/1889,7459.183,5.923
11/09/1889,5805.809,5.138
12/09/1889,4747.161,4.542
13/09/1889,4218.747,4.237
14/09/1889,3832.137,4.027
15/09/1889,3410.951,3.784
16/09/1889,3172.212,3.632
17/09/1889,2898.151,3.434
18/09/1889,2320.597,3.001
19/09/1889,1664.264,2.519
20/09/1889,1259.561,2.202
21/09/1889,906.331,1.883
22/09/1889,780.759,1.753
23/09/1889,749.839,1.719
24/09/1889,722.316,1.687
25/09/1889,729.925,1.696
26/09/1889,795.322,1.769
27/09/1889,842.239,1.819
28/09/1889,822.599,1.799
29/09/1889,952.199,1.919
30/09/1889,1327.667,2.262
01/10/1889,1069.454,2.034
02/10/1889,703.868,1.663
03/10/1889,545.673,1.47
04/10/1889,511.739,1.425
05/10/1889,575.938,1.506
06/10/1889,1242.483,2.128
07/10/1889,2226.163,2.937
08/10/1889,1131.888,2.089
09/10/1889,839.233,1.815
10/10/1889,744.45,1.712
11/10/1889,667.336,1.622
12/10/1889,571.816,1.504
13/10/1889,504.096,1.415
14/10/1889,466.098,1.361
15/10/1889,431.087,1.31
16/10/1889,397.496,1.259
17/10/1889,365.633,1.208
18/10/1889,490.054,1.368
19/10/1889,901.663,1.878
20/10/1889,782.066,1.754
21/10/1889,669.22,1.625
22/10/1889,576.546,1.51
23/10/1889,517.145,1.432
24/10/1889,466.859,1.362
25/10/1889,422.788,1.298
26/10/1889,353.071,1.185
27/10/1889,281.983,1.054
28/10/1889,244.896,0.981
29/10/1889,222.859,0.936
30/10/1889,213.308,0.915
31/10/1889,212.8,0.914
01/11/1889,361.139,1.15
02/11/1889,770.727,1.738
03/11/1889,583.388,1.518
04/11/1889,419.728,1.284
05/11/1889,254.601,1.001
06/11/1889,234.322,0.96
07/11/1889,222.333,0.935
08/11/1889,207.417,0.902
09/11/1889,187.736,0.859
10/11/1889,176.1,0.833
11/11/1889,164.401,0.808
12/11/1889,152.894,0.782
13/11/1889,141.752,0.757
14/11/1889,129.962,0.732
15/11/1889,118.528,0.706
16/11/1889,107.693,0.681
17/11/1889,94.049,0.649
18/11/1889,79.127,0.612
19/11/1889,72.582,0.597
20/11/1889,1442.791,1.817
21/11/1889,5426.342,4.91
22/11/1889,3125.822,3.553
23/11/1889,1621.014,2.488
24/11/1889,1283.595,2.226
25/11/1889,1019.614,1.988
26/11/1889,696.058,1.655
27/11/1889,572.674,1.505
28/11/1889,504.096,1.415
29/11/1889,466.098,1.361
30/11/1889,422.788,1.298
01/12/1889,349.842,1.179
02/12/1889,251.549,0.992
03/12/1889,165.54,0.81
04/12/1889,139.226,0.751
05/12/1889,116.235,0.701
06/12/1889,97.038,0.657
07/12/1889,87.237,0.633
08/12/1889,82.195,0.62
09/12/1889,75.471,0.604
10/12/1889,64.305,0.579
11/12/1889,54.318,0.554
12/12/1889,43.598,0.528
13/12/1889,30.308,0.503
14/12/1889,21.208,0.477
15/12/1889,16.825,0.458
16/12/1889,16.023,0.451
17/12/1889,13.965,0.427
18/12/1889,12.25,0.401
19/12/1889,11.12,0.382
20/12/1889,11.057,0.381
21/12/1889,11.057,0.381
22/12/1889,11.057,0.381
23/12/1889,11.057,0.381
24/12/1889,11.057,0.381
25/12/1889,11.057,0.381
26/12/1889,11.057,0.381
27/12/1889,11.057,0.381
28/12/1889,11.057,0.381
29/12/1889,11.057,0.381
30/12/1889,11.057,0.381
31/12/1889,10.705,0.375
01/01/1890,9.43,0.351
02/01/1890,8.348,0.328
03/01/1890,7.758,0.315
04/01/1890,7.21,0.303
05/01/1890,6.742,0.29
06/01/1890,6.149,0.274
07/01/1890,5.074,0.242
08/01/1890,3.748,0.199
09/01/1890,3.072,0.173
10/01/1890,2.516,0.147
11/01/1890,1.999,0.122
12/01/1890,1.406,0.09
13/01/1890,0.689,0.047
14/01/1890,0.293,0.02
15/01/1890,0.016,0.001
16/01/1890,0,0
17/01/1890,0,0
18/01/1890,0,0
19/01/1890,0.613,0.038
20/01/1890,2.362,0.139
21/01/1890,1.884,0.115
22/01/1890,1.092,0.072
23/01/1890,0.672,0.046
24/01/1890,0.341,0.023
25/01/1890,0.151,0.01
26/01/1890,0.008,0.001
27/01/1890,0,0
28/01/1890,0,0
29/01/1890,0,0
30/01/1890,0,0
31/01/1890,0,0
01/02/1890,0,0
02/02/1890,0,0
03/02/1890,0,0
04/02/1890,0,0
05/02/1890,0,0
06/02/1890,0,0
07/02/1890,0,0
08/02/1890,0,0
09/02/1890,0,0
10/02/1890,0,0
11/02/1890,0,0
12/02/1890,0,0
13/02/1890,0,0
14/02/1890,0,0
15/02/1890,0,0
16/02/1890,0,0
17/02/1890,0,0
18/02/1890,0,0
19/02/1890,0,0
20/02/1890,0,0
21/02/1890,0,0
22/02/1890,0,0
23/02/1890,0,0
24/02/1890,0,0
25/02/1890,0,0
26/02/1890,0,0
27/02/1890,0,0
28/02/1890,0,0
01/03/1890,0,0
02/03/1890,0,0
03/03/1890,0,0
04/03/1890,0,0
05/03/1890,0,0
06/03/1890,0,0
07/03/1890,0,0
08/03/1890,0,0
09/03/1890,0,0
10/03/1890,0,0
11/03/1890,0,0
12/03/1890,0,0
13/03/1890,0,0
14/03/1890,0,0
15/03/1890,0,0
16/03/1890,0,0
17/03/1890,1.007,0.057
18/03/1890,3.696,0.194
19/03/1890,1.953,0.119
20/03/1890,1.092,0.072
21/03/1890,0.672,0.046
22/03/1890,0.341,0.023
23/03/1890,0.151,0.01
24/03/1890,0.008,0.001
25/03/1890,2.124,0.096
26/03/1890,39.879,0.46
27/03/1890,111.951,0.688
28/03/1890,53.141,0.549
29/03/1890,55.864,0.558
30/03/1890,56.278,0.559
31/03/1890,47.29,0.54
01/04/1890,21.236,0.473
02/04/1890,14.519,0.434
03/04/1890,13.888,0.426
04/04/1890,12.294,0.402
05/04/1890,40.682,0.478
06/04/1890,119.929,0.708
07/04/1890,80.879,0.616
08/04/1890,75.264,0.603
09/04/1890,64.305,0.579
10/04/1890,54.318,0.554
11/04/1890,41.946,0.525
12/04/1890,23.653,0.481
13/04/1890,13.724,0.422
14/04/1890,11.186,0.383
15/04/1890,35.504,0.464
16/04/1890,106.467,0.678
17/04/1890,84.032,0.625
18/04/1890,64.787,0.58
19/04/1890,54.318,0.554
20/04/1890,43.598,0.528
21/04/1890,30.308,0.503
22/04/1890,21.208,0.477
23/04/1890,16.248,0.452
24/04/1890,13.965,0.427
25/04/1890,12.25,0.401
26/04/1890,11.12,0.382
27/04/1890,11.057,0.381
28/04/1890,10.884,0.378
29/04/1890,10.227,0.366
30/04/1890,9.416,0.35
01/05/1890,8.233,0.326
02/05/1890,7.234,0.303
03/05/1890,6.742,0.29
04/05/1890,6.383,0.281
05/05/1890,6.245,0.277
06/05/1890,5.8,0.264
07/05/1890,5.459,0.255
08/05/1890,5.329,0.251
09/05/1890,5.023,0.242
10/05/1890,4.912,0.238
11/05/1890,4.649,0.23
12/05/1890,4.633,0.229
13/05/1890,4.633,0.229
14/05/1890,4.633,0.229
15/05/1890,4.633,0.229
16/05/1890,4.633,0.229
17/05/1890,4.633,0.229
18/05/1890,4.633,0.229
19/05/1890,4.633,0.229
20/05/1890,4.633,0.229
21/05/1890,4.633,0.229
22/05/1890,4.633,0.229
23/05/1890,6.091,0.267
24/05/1890,11.502,0.387
25/05/1890,13.328,0.417
26/05/1890,10.834,0.377
27/05/1890,9.748,0.357
28/05/1890,9.388,0.35
29/05/1890,8.233,0.326
30/05/1890,7.349,0.306
31/05/1890,7.3,0.305
01/06/1890,7.889,0.318
02/06/1890,23.148,0.418
03/06/1890,73.878,0.599
04/06/1890,78.3,0.61
05/06/1890,75.264,0.603
06/06/1890,66.89,0.585
07/06/1890,63.82,0.578
08/06/1890,56.69,0.56
09/06/1890,61.605,0.572
10/06/1890,87.814,0.633
11/06/1890,136.147,0.745
12/06/1890,192.387,0.869
13/06/1890,230.383,0.95
14/06/1890,320.904,1.124
15/06/1890,426.657,1.304
16/06/1890,434.558,1.315
17/06/1890,716.509,1.636
18/06/1890,2011.422,2.775
19/06/1890,3219.543,3.636
20/06/1890,2018.929,2.781
21/06/1890,1180.079,2.133
22/06/1890,1150.303,2.091
23/06/1890,1889.677,2.68
24/06/1890,1802.089,2.621
25/06/1890,1538.357,2.423
26/06/1890,1013.395,1.982
27/06/1890,715.997,1.679
28/06/1890,739.492,1.704
29/06/1890,901.156,1.879
30/06/1890,781.016,1.753
01/07/1890,690.086,1.65
02/07/1890,745.004,1.709
03/07/1890,932.372,1.91
04/07/1890,844.495,1.822
05/07/1890,793.9,1.767
06/07/1890,759.242,1.729
07/07/1890,2911.727,3.129
08/07/1890,10669.053,6.848
09/07/1890,8404.831,6.312
10/07/1890,6471.105,5.449
11/07/1890,3605.429,3.869
12/07/1890,2346.325,3.02
13/07/1890,1817.936,2.627
14/07/1890,1177.345,2.134
15/07/1890,937.354,1.914
16/07/1890,771.43,1.742
17/07/1890,704.337,1.666
18/07/1890,660.399,1.615
19/07/1890,624.181,1.571
20/07/1890,592.694,1.531
21/07/1890,590.578,1.527
22/07/1890,1777.312,2.483
23/07/1890,4626.74,4.477
24/07/1890,3168.269,3.615
25/07/1890,2466.743,3.112
26/07/1890,1936.878,2.716
27/07/1890,1520.346,2.412
28/07/1890,1142.279,2.104
29/07/1890,960.944,1.938
30/07/1890,873.807,1.852
31/07/1890,3169.331,3.283
01/08/1890,11772.66,6.991
02/08/1890,7203.412,5.779
03/08/1890,4501.672,4.408
04/08/1890,3121.933,3.589
05/08/1890,2532.817,3.162
06/08/1890,2067.387,2.814
07/08/1890,2589.423,3.143
08/08/1890,4689.746,4.512
09/08/1890,3004.959,3.499
10/08/1890,2629.122,3.23
11/08/1890,4393.617,4.346
12/08/1890,6194.472,5.343
13/08/1890,4979.992,4.677
14/08/1890,4568.336,4.438
15/08/1890,3985.051,4.111
16/08/1890,3376.693,3.751
17/08/1890,3309.323,3.671
18/08/1890,4573.822,4.443
19/08/1890,3670.35,3.934
20/08/1890,3063.327,3.551
21/08/1890,2535.793,3.164
22/08/1890,2314.411,2.996
23/08/1890,2012.225,2.772
24/08/1890,1653.508,2.511
25/08/1890,1238.114,2.186
26/08/1890,1058.873,2.03
27/08/1890,1211.642,2.166
28/08/1890,1565.165,2.439
29/08/1890,2432.826,3.085
30/08/1890,3128.25,3.6
31/08/1890,2842.983,3.393
01/09/1890,2403.914,3.064
02/09/1890,2124.798,2.853
03/09/1890,1801.569,2.618
04/09/1890,1398.591,2.319
05/09/1890,1142.584,2.105
06/09/1890,979.462,1.956
07/09/1890,874.875,1.853
08/09/1890,840.229,1.817
09/09/1890,799.811,1.774
10/09/1890,770.185,1.741
11/09/1890,725.916,1.691
12/09/1890,682.03,1.64
13/09/1890,639.538,1.589
14/09/1890,598.619,1.539
15/09/1890,559.341,1.488
16/09/1890,834.219,1.756
17/09/1890,1734.799,2.57
18/09/1890,1594.308,2.471
19/09/1890,1448.48,2.36
20/09/1890,1315.554,2.254
21/09/1890,1243.118,2.193
22/09/1890,1128.236,2.093
23/09/1890,948.504,1.925
24/09/1890,816.08,1.791
25/09/1890,721.861,1.686
26/09/1890,593.141,1.531
27/09/1890,522.486,1.44
28/09/1890,479.412,1.38
29/09/1890,435.98,1.318
30/09/1890,502.293,1.404
01/10/1890,849.133,1.817
02/10/1890,1528.396,2.402
03/10/1890,2397.464,3.06
04/10/1890,1889.405,2.682
05/10/1890,1222.561,2.172
06/10/1890,927.812,1.903
07/10/1890,722.833,1.687
08/10/1890,636.329,1.585
09/10/1890,574.809,1.508
10/10/1890,531.109,1.451
11/10/1890,528.675,1.448
12/10/1890,1669.223,2.346
13/10/1890,5028.021,4.705
14/10/1890,4188.743,4.226
15/10/1890,3201.359,3.637
16/10/1890,2490.621,3.13
17/10/1890,2120.426,2.85
18/10/1890,1776.182,2.6
19/10/1890,1311.25,2.241
20/10/1890,856.419,1.833
21/10/1890,744.652,1.712
22/10/1890,618.754,1.564
23/10/1890,560.209,1.489
24/10/1890,530.304,1.45
25/10/1890,528.675,1.448
26/10/1890,524.02,1.442
27/10/1890,501.693,1.411
28/10/1890,449.036,1.336
29/10/1890,372.216,1.219
30/10/1890,353.863,1.189
31/10/1890,342.61,1.169
01/11/1890,338.408,1.162
02/11/1890,328.398,1.144
03/11/1890,327.8,1.143
04/11/1890,324.492,1.137
05/11/1890,315.208,1.119
06/11/1890,311.278,1.111
07/11/1890,295.374,1.081
08/11/1890,269.993,1.031
09/11/1890,244.359,0.98
10/11/1890,216.95,0.923
11/11/1890,185.371,0.854
12/11/1890,162.131,0.802
13/11/1890,145.233,0.764
14/11/1890,144.3,0.762
15/11/1890,141.298,0.756
16/11/1890,132.92,0.738
17/11/1890,365.137,1.1
18/11/1890,1153.696,2.111
19/11/1890,1133.772,2.098
20/11/1890,979.462,1.956
21/11/1890,862.761,1.84
22/11/1890,783.483,1.756
23/11/1890,635.723,1.578
24/11/1890,396.456,1.255
25/11/1890,317.787,1.123
26/11/1890,261.67,1.014
27/11/1890,209.452,0.907
28/11/1890,179.011,0.84
29/11/1890,181.169,0.843
30/11/1890,313.54,1.111
01/12/1890,390.507,1.247
02/12/1890,311.721,1.111
03/12/1890,243.465,0.978
04/12/1890,211.4,0.911
05/12/1890,201.704,0.89
06/12/1890,198.381,0.883
07/12/1890,187.571,0.859
08/12/1890,170.325,0.82
09/12/1890,139.691,0.752
10/12/1890,119.005,0.707
11/12/1890,104.877,0.674
12/12/1890,86.419,0.631
13/12/1890,75.665,0.605
14/12/1890,64.305,0.579
15/12/1890,54.318,0.554
16/12/1890,43.598,0.528
17/12/1890,30.308,0.503
18/12/1890,21.208,0.477
19/12/1890,16.248,0.452
20/12/1890,14.423,0.433
21/12/1890,13.888,0.426
22/12/1890,12.294,0.402
23/12/1890,10.77,0.376
24/12/1890,9.43,0.351
25/12/1890,8.2,0.325
26/12/1890,7.347,0.306
27/12/1890,7.3,0.305
28/12/1890,7.3,0.305
29/12/1890,7.3,0.305
30/12/1890,7.063,0.299
31/12/1890,6.168,0.275
01/01/1891,5.708,0.262
02/01/1891,6.323,0.279
03/01/1891,6.363,0.28
04/01/1891,6.363,0.28
05/01/1891,6.363,0.28
06/01/1891,6.363,0.28
07/01/1891,6.363,0.28
08/01/1891,6.363,0.28
09/01/1891,6.363,0.28
10/01/1891,6.596,0.286
11/01/1891,7.259,0.304
12/01/1891,7.3,0.305
13/01/1891,7.3,0.305
14/01/1891,7.3,0.305
15/01/1891,7.3,0.305
16/01/1891,7.3,0.305
17/01/1891,7.3,0.305
18/01/1891,7.3,0.305
19/01/1891,7.3,0.305
20/01/1891,7.063,0.299
21/01/1891,6.402,0.281
22/01/1891,6.363,0.28
23/01/1891,6.129,0.273
24/01/1891,5.479,0.255
25/01/1891,5.44,0.254
26/01/1891,5.44,0.254
27/01/1891,5.234,0.248
28/01/1891,4.666,0.23
29/01/1891,4.633,0.229
30/01/1891,4.633,0.229
31/01/1891,4.438,0.222
01/02/1891,3.716,0.198
02/02/1891,3.072,0.173
03/02/1891,2.516,0.147
04/02/1891,1.999,0.122
05/02/1891,1.516,0.096
06/02/1891,1.072,0.071
07/02/1891,0.672,0.046
08/02/1891,0.385,0.026
09/02/1891,0.276,0.019
10/02/1891,0.016,0.001
11/02/1891,0,0
12/02/1891,0,0
13/02/1891,0,0
14/02/1891,0,0
15/02/1891,0,0
16/02/1891,0,0
17/02/1891,0,0
18/02/1891,0,0
19/02/1891,0,0
20/02/1891,0,0
21/02/1891,0,0
22/02/1891,0,0
23/02/1891,0,0
24/02/1891,0,0
25/02/1891,0,0
26/02/1891,0,0
27/02/1891,0,0
28/02/1891,0,0
01/03/1891,0,0
02/03/1891,0,0
03/03/1891,0,0
04/03/1891,0,0
05/03/1891,0,0
06/03/1891,0,0
07/03/1891,0,0
08/03/1891,0,0
09/03/1891,0,0
10/03/1891,0,0
11/03/1891,0,0
12/03/1891,0,0
13/03/1891,0,0
14/03/1891,0,0
15/03/1891,0,0
16/03/1891,0,0
17/03/1891,0,0
18/03/1891,0,0
19/03/1891,0,0
20/03/1891,0,0
21/03/1891,0,0
22/03/1891,0,0
23/03/1891,0,0
24/03/1891,0,0
25/03/1891,0,0
26/03/1891,0,0
27/03/1891,0,0
28/03/1891,0,0
29/03/1891,0,0
30/03/1891,0,0
31/03/1891,730.488,0.994
01/04/1891,2954.578,3.437
02/04/1891,1509.763,2.384
03/04/1891,685.38,1.636
04/04/1891,423.745,1.289
05/04/1891,248.608,0.988
06/04/1891,205.951,0.899
07/04/1891,171.275,0.822
08/04/1891,128.587,0.727
09/04/1891,72.606,0.597
10/04/1891,44.38,0.53
11/04/1891,30.308,0.503
12/04/1891,21.208,0.477
13/04/1891,16.825,0.458
14/04/1891,16.6,0.457
15/04/1891,16.6,0.457
16/04/1891,16.6,0.457
17/04/1891,16.6,0.457
18/04/1891,16.6,0.457
19/04/1891,16.6,0.457
20/04/1891,34.1,0.502
21/04/1891,90.208,0.64
22/04/1891,103.444,0.671
23/04/1891,80.804,0.618
24/04/1891,55.206,0.556
25/04/1891,47.376,0.534
26/04/1891,43.222,0.527
27/04/1891,30.308,0.503
28/04/1891,21.208,0.477
29/04/1891,16.248,0.452
30/04/1891,13.965,0.427
01/05/1891,12.25,0.401
02/05/1891,10.443,0.369
03/05/1891,8.251,0.326
04/05/1891,7.347,0.306
05/05/1891,7.3,0.305
06/05/1891,7.3,0.305
07/05/1891,7.3,0.305
08/05/1891,7.3,0.305
09/05/1891,7.063,0.299
10/05/1891,6.635,0.287
11/05/1891,7.259,0.304
12/05/1891,7.3,0.305
13/05/1891,7.3,0.305
14/05/1891,7.3,0.305
15/05/1891,12.917,0.369
16/05/1891,51.448,0.548
17/05/1891,56.278,0.559
18/05/1891,53.906,0.552
19/05/1891,40.482,0.521
20/05/1891,20.745,0.472
21/05/1891,14.077,0.428
22/05/1891,12.294,0.402
23/05/1891,10.77,0.376
24/05/1891,9.442,0.351
25/05/1891,8.233,0.326
26/05/1891,7.112,0.3
27/05/1891,6.177,0.275
28/05/1891,5.297,0.25
29/05/1891,4.667,0.23
30/05/1891,4.633,0.229
31/05/1891,4.258,0.216
01/06/1891,2.969,0.167
02/06/1891,1.907,0.116
03/06/1891,1.092,0.072
04/06/1891,0.58,0.039
05/06/1891,0.032,0.002
06/06/1891,0,0
07/06/1891,0,0
08/06/1891,0,0
09/06/1891,0,0
10/06/1891,0,0
11/06/1891,0,0
12/06/1891,0,0
13/06/1891,0,0
14/06/1891,0,0
15/06/1891,0,0
16/06/1891,0,0
17/06/1891,0,0
18/06/1891,0,0
19/06/1891,32.962,0.229
20/06/1891,210.754,0.907
21/06/1891,269.275,1.03
22/06/1891,250.074,0.992
23/06/1891,171.93,0.823
24/06/1891,40.596,0.492
25/06/1891,7.075,0.296
26/06/1891,4.197,0.213
27/06/1891,203.396,0.633
28/06/1891,1462.102,2.32
29/06/1891,2591.86,3.205
30/06/1891,2023.496,2.777
01/07/1891,2696.01,3.224
02/07/1891,4457.757,4.38
03/07/1891,2806.655,3.358
04/07/1891,1858.685,2.658
05/07/1891,1292.334,2.234
06/07/1891,1747.199,2.573
07/07/1891,3069.103,3.558
08/07/1891,2831.887,3.384
09/07/1891,3979.315,3.987
10/07/1891,8861.239,6.394
11/07/1891,6018.674,5.218
12/07/1891,4960.336,4.602
13/07/1891,9816.546,6.697
14/07/1891,8069.229,6.188
15/07/1891,6405.04,5.45
16/07/1891,4638.302,4.485
17/07/1891,3133.073,3.592
18/07/1891,2386.013,3.051
19/07/1891,1765.167,2.592
20/07/1891,1231.576,2.175
21/07/1891,801.586,1.774
22/07/1891,733.237,1.7
23/07/1891,777.75,1.75
24/07/1891,804.175,1.778
25/07/1891,1065.18,2.022
26/07/1891,1540.278,2.428
27/07/1891,1454.124,2.358
28/07/1891,1786.625,2.606
29/07/1891,1311.664,2.248
30/07/1891,1025.263,1.997
31/07/1891,884.306,1.86
01/08/1891,1008.012,1.982
02/08/1891,776.193,1.745
03/08/1891,3135.49,3.148
04/08/1891,14471.664,7.441
05/08/1891,9609.342,6.515
06/08/1891,5067.472,4.719
07/08/1891,3494.455,3.826
08/08/1891,2711.224,3.293
09/08/1891,1834.415,2.644
10/08/1891,1474.158,2.378
11/08/1891,1166.776,2.126
